Record Length,2250,,Source,CH1
Sample Interval,CH1:0.0000000040000,,Second,Volt
Vertical Units,CH1:V,,-0.00000450000,-1.04000,
Vertical Scale,CH1:2.00,,-0.00000449600,-1.04000,
Vertical Offset,CH1:-0.08000,,-0.00000449200,-1.12000,
Horizontal Units,s,,-0.00000448800,-0.96000,
Horizontal Scale,0.0000005000,,-0.00000448400,-0.88000,
Model Number,ADS-3072B,,-0.00000448000,-0.72000,
Serial Number,NEU00004121681,,-0.00000447600,-0.48000,
Software Version,5.01.02.13,,-0.00000447200,-0.40000,
,,,-0.00000333600,0.32000,
,,,-0.00000333200,0.24000,
,,,-0.00000332800,0.16000,
,,,-0.00000332400,0.24000,
,,,-0.00000332000,0.16000,
,,,-0.00000331600,0.16000,
,,,-0.00000331200,0.16000,
,,,-0.00000330800,0.16000,
,,,-0.00000330400,0.16000,
,,,-0.00000330000,0.08000,
,,,-0.00000329600,0.16000,
,,,-0.00000329200,0.08000,
,,,-0.00000328800,0.08000,
,,,-0.00000328400,0.08000,
,,,-0.00000328000,0.08000,
,,,-0.00000327600,0.08000,
,,,-0.00000327200,0.08000,
,,,-0.00000326800,0.00,
,,,-0.00000326400,0.08000,
,,,-0.00000326000,0.08000,
,,,-0.00000325600,0.16000,
,,,-0.00000325200,0.08000,
,,,-0.00000324800,0.00,
,,,-0.00000324400,0.08000,
,,,-0.00000324000,0.08000,
,,,-0.00000323600,0.16000,
,,,-0.00000323200,0.08000,
,,,-0.00000322800,0.08000,
,,,-0.00000322400,0.16000,
,,,-0.00000322000,0.08000,
,,,-0.00000321600,0.08000,
,,,-0.00000321200,0.08000,
,,,-0.00000320800,0.00,
,,,-0.00000320400,0.16000,
,,,-0.00000320000,0.08000,
,,,-0.00000319600,0.08000,
,,,-0.00000319200,0.00,
,,,-0.00000318800,0.00,
,,,-0.00000318400,0.08000,
,,,-0.00000318000,0.00,
,,,-0.00000317600,0.00,
,,,-0.00000317200,0.00,
,,,-0.00000316800,0.00,
,,,-0.00000316400,0.00,
,,,-0.00000316000,0.00,
,,,-0.00000315600,-0.08000,
